,DTS
34251,215.5155
34252,215.4846
34253,216.0614
34254,216.0243
34255,215.9996
34256,215.9687
34257,215.3363
34258,214.1024
34259,215.2807
34260,217.6496
34261,218.2202
34262,218.797
34263,218.7661
34264,218.7352
34265,218.7043
34266,218.6734
34267,218.6425
34268,219.2193
34269,219.1822
34270,219.1575
34271,219.1266
34272,219.0957
34273,219.0648
34274,219.0339
34275,219.003
34276,218.9721
34277,220.1504
34278,222.5255
34279,223.7038
34280,224.2744
34281,224.2373
34282,223.0034
34283,222.371
34284,223.5493
34285,224.7214
34286,225.8997
34287,225.8626
34288,224.6287
34289,222.7933
34290,220.3564
34291,217.3179
34292,214.8872
34293,214.2548
34294,216.6299
34295,219.005
34296,218.9741
34297,218.9433
34298,218.9123
34299,218.8815
34300,218.8567
34301,220.0289
34302,221.2072
34303,222.9745
34304,223.5513
34305,221.1082
34306,218.6713
34307,217.4436
34308,216.8112
34309,217.388
34310,217.3509
34311,217.9215
34312,218.4921
34313,218.4612
34314,218.4303
34315,219.0071
34316,220.1792
34317,220.756
34318,222.5234
34319,223.1002
34320,223.6646
34321,225.4383
34322,226.6166
34323,227.1933
34324,227.1562
34325,227.733
34326,228.3037
34327,228.3666
34328,229.038
34329,228.2047
34330,226.3754
34331,223.337
34332,219.697
34333,220.2737
34334,222.6426
34335,223.8147
34336,224.9867
34337,224.962
34338,224.9311
34339,224.9001
34340,223.0647
34341,219.4247
34342,215.1832
34343,211.5432
34344,210.917
34345,211.4938
34346,212.6658
34347,213.2364
34348,213.1993
34349,213.1683
34350,211.9343
34351,210.7066
34352,208.8711
34353,208.2387
34354,208.2077
34355,206.9738
34356,205.7399
34357,203.3029
34358,202.0751
34359,200.8412
34360,200.2088
34361,200.1778
34362,199.5453
34363,198.9173
34364,198.882
34365,198.8572
